enunciados|modelos
A la turbina de un ciclo Rankine ideal entra vapor sobrecalentado a 30 bar y 500 ºC y sale del condensador como líquido saturado a 0.1 bar. Determínese (a) el rendimiento térmico. (b) el flujo másico de vapor necesario en kg/h. (c) el flujo de calor suministrado al ciclo en MW, y (d) el flujo másico de agua de refrigeración en kg/h si ésta aumenta su temperatura desde 18 hasta 28 ºC. La potencia neta de salida es 100 MW.|Rankine
A un ciclo Diesel de aire estándar se le suministran 1.659 kJ/kg de calor por ciclo. La presión y la temperatura al comienzo de la compresión son, respectivamente, 0.095 MPa y 27 ºC, y la presión después de la compresión es 3.60 MPa. Determínese (a) la relación de compresión, (b) la temperatura máxima del ciclo, en kelvin, (c) la relación de corte, (d) la presión después de la expansión isoentrópica, en megapascales, y (e) el trabajo neto, en kJ/kg. Utilícese la Tabla A.5.|Diesel
A un ciclo Diesel de aire estándar se le suministran 724 Btu/lbm de calor por ciclo. La presión y la temperatura al comienzo de la compresión son. respectivamente. 14.0 psia y 80 ºF. y la presión después de la compresión es 540 psia. Determínese (a) la relación de compresión, (b) la temperatura máxima del ciclo, en grados Rankine, (c) la relación de corte, (d) la presión después de la expansión isoentrópica, en psia, y (e) el flujo volumétrico de aire, medido en las condiciones existentes al comenzar la compresión, necesario para producir 150 hp. Utilícese la Tabla A.5I.|Diesel
Considere una central eléctrica de vapor que opera en el ciclo Rankine ideal simple. El vapor de agua entra a la turbina a 3 MPa y 350 °C y es condensado en el condensador a una presión de 75 kPa. Determine la eficiencia térmica de este ciclo.|Rankine
Considérese un ciclo Otto de aire estándar que tiene una relación de compresión de 8.0 y al que se le suministra una cantidad de calor de 1.188 kJ/kg. Si la presión y la temperatura al comienzo del proceso de compresión son 0.098 MPa y 27 ºC. determínese utilizando los valores de la Tabla A.5 (a) las presiones y temperaturas en el ciclo, (b) el trabajo neto de salida en kJ/kg, (c) el rendimiento térmico, y (d) la presión media efectiva en MPa.|Otto
Considérese un ciclo Otto de aire estándar que tiene una relación de compresión de 8.3 y al que se le suministra una cantidad de calor de 1.456 kJ/kg. Si la presión y la temperatura al comienzo del proceso de compresión son 0.095 MPa y 7 ºC, determínese utilizando los valores de la Tabla A.5 (a) la presión y temperatura máximas del ciclo, (b) el trabajo neto obtenido, en kJ/kg. (c) el rendimiento térmico, y (d) la presión media efectiva en megapascales.|Otto
Considérese un ciclo Otto de aire estándar que tiene una relación de compresión de 9.0 y al que se le suministra una cantidad de calor de 821 Btu/lbm. Si la presión y la temperatura al comienzo del proceso de compresión son 14.0 psia y 40 ºF. determínese utilizando los valores de la Tabla A.51 (a) la presión y temperatura máximas del ciclo. (b) el trabajo neto obtenido, en Btu/lbm, (c) el rendimiento térmico, y (d) la presión media efectiva en psi.|Otto
Determinar el rendimiento teórico de un ciclo Diesel que opera con una presión máxima de 40 Kgf/cm2 y una presión de entrada de 1 Kgf/cm2. La temperatura de ingreso es 50 °C y la relación de compresión volumétrica r1 = 13.34. La combustión aporta 400 cal.|Diesel
Determínese (a) la calidad del vapor que sale de la turbina, y (b) el rendimiento térmico de un ciclo Rankine ideal sin sobrecalentamiento en el que las condiciones de entrada a la turbina son vapor saturado a 30 bar y la presión del condensador es 0.1 bar.|Rankine
En un ciclo Brayton de aire estándar, la relación de presiones es 6.0. y las condiciones de entrada al compresor son 15 psia y 40 ºF. La temperatura de entrada a la turbina está limitada a 1.440 ºF. y el flujo másico es 10 lbm/s. Los rendimientos adiabáticos del compresor y la turbina son 0.80 y 0.85, respectivamente. Determínese (a) el trabajo del compresor y el de la turbina, en Btu/lbin, (b) el rendimiento térmico, (c) la potencia neta obtenida, en hp, y (d) el flujo volumétrico a la entrada del compresor, en ft3/min. Utilícense los valores de la Tabla A.51. (Véase el Problema 15.63I.)|Joule
En un ciclo Brayton simple de aire normal se tiene una relación de presiones de 12, una temperatura a la entrada del compresor de 300 K y una temperatura a la entrada de la  turbina de 1000 K. Determine el flujo másico requerido de aire para una salida de potencia neta de 30 MW suponga que tanto el compresor como la turbina tienen una eficiencia isoentrópica de 80%. Considere los calores específicos constantes a temperatura ambiente. En caso de que se pudiera hacer regeneración, ¿Qué cantidad de calor se podría aprovechar? Explique.|Joule
En un ciclo Brayton, el aire entra al compresor en unas condiciones de 300 K y 100 kPa, y la relación de presiones es de 7:1. Para unas temperaturas de entrada a la turbina desde 900 hasta 1500 K, en intervalos de 100 grados, calcúlese mediante un programa de ordenador y dibújese (a) el rendimiento térmico, (b) la relación de acoplamiento, y (c) el trabajo neto de salida, en kJ/kg.|Joule
En un ciclo Joule (Brayton) de aire estándar, el aire entra al compresor a 100 kPa y 290 K. La presión de salida del compresor es de 480 kPa y  la temperatura máxima del ciclo es de 1150 K. Si la masa es de 1 kg, determinar los valores de las variables de estado en los cuatro estados termodinámicos y mostrar los diagramas P-V y T-s del ciclo Joule.|Joule
En un ciclo Otto de aire estándar, el aire entra al compresor a 100 kPa y 290 K. La presión de salida del compresor es de 1840 kPa y la masa es de 1 kg. Si la transmisión de calor al aire es de 1863 kJ/kg, determinar los valores de las variables de estado en los cuatro estados termodinámicos y mostrar los diagramas P-V y T-s del ciclo Otto.|Otto
